category,question,keywords,answer
TPO Policy,Can students request betterment after accepting a PPO?,"students, request, betterment, accept, PPO","No, students cannot apply for betterment after accepting a PPO."
TPO Policy,Is betterment possible for students after accepting a PPO?,"students, betterment, accept, PPO","No, students cannot apply for betterment after accepting a PPO."
TPO Policy,Can students apply for betterment after they accept a PPO?,"students, apply, betterment, accept, PPO","No, students cannot apply for betterment after accepting a PPO."
TPO Policy,What is documented before the placement season starts?,"documented, placement season, students' preferences, participate, postgraduate studies, opt out","A record of students' preferences whether they want to participate in the placement process, pursue postgraduate studies, or completely opt out of the placement process is created."
TPO Policy,What information is recorded before the placement season?,"information, placement season, students' preferences, participate, postgraduate studies, opt out","A record of students' preferences whether they want to participate in the placement process, pursue postgraduate studies, or completely opt out of the placement process is created."
TPO Policy,What is noted before the placement season begins?,"noted, placement season, students' preferences, participate, postgraduate studies, opt out","A record of students' preferences whether they want to participate in the placement process, pursue postgraduate studies, or completely opt out of the placement process is created."
TPO Policy,What is prepared before the placement season starts?,"prepared, placement season, students' preferences, participate, postgraduate studies, opt out","A record of students' preferences whether they want to participate in the placement process, pursue postgraduate studies, or completely opt out of the placement process is created."
TPO Policy,Are students pursuing postgraduate studies eligible for on-campus placements?,"postgraduate studies, on-campus placements, CE, IT, Circuital branches, LPA","Yes, students pursuing postgraduate studies can apply for on-campus placements in companies offering ≤ 12 LPA for CE, IT, and Circuital branches; ≤ 10 LPA for all other branches."
TPO Policy,Can students who are pursuing postgraduate studies apply for on-campus placements?,"postgraduate studies, on-campus placements, CE, IT, Circuital branches, LPA","Yes, students pursuing postgraduate studies can apply for on-campus placements in companies offering ≤ 12 LPA for CE, IT, and Circuital branches; ≤ 10 LPA for all other branches."
TPO Policy,Is it allowed for students pursuing postgraduate studies to apply for on-campus placements?,"postgraduate studies, on-campus placements, CE, IT, Circuital branches, LPA","Yes, students pursuing postgraduate studies can apply for on-campus placements in companies offering ≤ 12 LPA for CE, IT, and Circuital branches; ≤ 10 LPA for all other branches."
TPO Policy,Can students pursuing higher education apply for on-campus placements?,"higher education, on-campus placements, CE, IT, Circuital branches, LPA","Yes, students pursuing postgraduate studies can apply for on-campus placements in companies offering ≤ 12 LPA for CE, IT, and Circuital branches; ≤ 10 LPA for all other branches."
